Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Serious,Tested,Date
USA,214482,25952,5094.0,1041,8878.0,5005.0,0.0,2020-04-01
Italy,110574,4782,13155.0,727,16847.0,4035.0,0.0,2020-04-01
Spain,104118,8195,9387.0,923,22647.0,5872.0,0.0,2020-04-01
Germany,77981,6173,931.0,156,18700.0,3408.0,0.0,2020-04-01
France,56989,4861,4032.0,509,10935.0,6017.0,0.0,2020-04-01
Iran,47593,2988,3036.0,138,15473.0,3871.0,0.0,2020-04-01
UK,29474,4324,2352.0,563,135.0,163.0,0.0,2020-04-01
Switzerland,17768,1163,488.0,55,2967.0,348.0,0.0,2020-04-01
Turkey,15679,2148,277.0,63,333.0,847.0,0.0,2020-04-01
Belgium,13964,1189,828.0,123,2132.0,1088.0,0.0,2020-04-01
Netherlands,13614,1019,1173.0,134,250.0,1053.0,0.0,2020-04-01
Austria,10711,531,146.0,18,1436.0,215.0,0.0,2020-04-01
S. Korea,9887,101,165.0,3,5567.0,55.0,0.0,2020-04-01
Canada,9731,1119,114.0,13,1736.0,120.0,0.0,2020-04-01
Portugal,8251,808,187.0,27,43.0,230.0,0.0,2020-04-01
Brazil,6880,1163,242.0,41,127.0,296.0,0.0,2020-04-01
Israel,6092,734,26.0,6,241.0,95.0,0.0,2020-04-01
Australia,5048,285,23.0,3,345.0,50.0,0.0,2020-04-01
Sweden,4947,512,239.0,59,103.0,393.0,0.0,2020-04-01
Norway,4877,236,44.0,5,13.0,105.0,0.0,2020-04-01
Czechia,3589,281,39.0,8,61.0,70.0,0.0,2020-04-01
Ireland,3447,212,85.0,14,5.0,103.0,0.0,2020-04-01
Denmark,3107,247,104.0,14,894.0,145.0,0.0,2020-04-01
Chile,3031,293,16.0,4,234.0,31.0,0.0,2020-04-01
Malaysia,2908,142,45.0,2,645.0,102.0,0.0,2020-04-01
Russia,2777,440,24.0,7,190.0,8.0,0.0,2020-04-01
Ecuador,2758,456,98.0,19,58.0,100.0,0.0,2020-04-01
Poland,2554,243,43.0,10,56.0,50.0,0.0,2020-04-01
Romania,2460,215,92.0,10,252.0,57.0,0.0,2020-04-01
Japan,2384,206,57.0,0,472.0,69.0,0.0,2020-04-01
Luxembourg,2319,141,29.0,6,80.0,31.0,0.0,2020-04-01
Philippines,2311,227,96.0,8,50.0,1.0,0.0,2020-04-01
Pakistan,2118,180,27.0,1,94.0,12.0,0.0,2020-04-01
India,1998,601,58.0,23,148.0,0.0,0.0,2020-04-01
Thailand,1771,120,12.0,2,505.0,23.0,0.0,2020-04-01
Saudi Arabia,1720,157,16.0,6,264.0,31.0,0.0,2020-04-01
Indonesia,1677,149,157.0,21,103.0,0.0,0.0,2020-04-01
Finland,1446,28,17.0,0,10.0,62.0,0.0,2020-04-01
Greece,1415,101,51.0,2,52.0,90.0,0.0,2020-04-01
South Africa,1380,27,5.0,0,50.0,7.0,0.0,2020-04-01
Peru,1323,258,38.0,8,394.0,49.0,0.0,2020-04-01
Dominican Republic,1284,175,57.0,6,9.0,0.0,0.0,2020-04-01
Iceland,1220,85,2.0,0,236.0,12.0,0.0,2020-04-01
Mexico,1215,121,29.0,1,35.0,1.0,0.0,2020-04-01
Panama,1181,0,30.0,0,9.0,50.0,0.0,2020-04-01
Argentina,1133,79,31.0,4,248.0,0.0,0.0,2020-04-01
Colombia,1065,159,17.0,1,39.0,47.0,0.0,2020-04-01
Serbia,1060,160,28.0,5,42.0,62.0,0.0,2020-04-01
Singapore,1000,74,3.0,0,245.0,24.0,0.0,2020-04-01
Croatia,963,96,6.0,0,73.0,34.0,0.0,2020-04-01
Algeria,847,131,58.0,14,61.0,0.0,0.0,2020-04-01
Slovenia,841,39,15.0,0,10.0,31.0,0.0,2020-04-01
Qatar,835,54,2.0,0,71.0,37.0,0.0,2020-04-01
UAE,814,150,8.0,2,61.0,2.0,0.0,2020-04-01
Ukraine,794,149,20.0,3,13.0,0.0,0.0,2020-04-01
Egypt,779,69,52.0,6,179.0,0.0,0.0,2020-04-01
Estonia,779,34,5.0,1,33.0,15.0,0.0,2020-04-01
Hong Kong,765,50,4.0,0,147.0,5.0,0.0,2020-04-01
Iraq,728,34,52.0,2,182.0,0.0,0.0,2020-04-01
Diamond Princess,712,0,11.0,0,603.0,15.0,0.0,2020-04-01
New Zealand,708,61,1.0,0,83.0,2.0,0.0,2020-04-01
Morocco,654,37,39.0,3,29.0,1.0,0.0,2020-04-01
Lithuania,581,44,8.0,0,7.0,11.0,0.0,2020-04-01
Armenia,571,39,4.0,1,31.0,30.0,0.0,2020-04-01
Bahrain,569,2,4.0,0,337.0,3.0,0.0,2020-04-01
Hungary,525,33,20.0,4,40.0,17.0,0.0,2020-04-01
Lebanon,479,16,14.0,2,43.0,5.0,0.0,2020-04-01
Bosnia and Herzegovina,459,39,13.0,0,19.0,1.0,0.0,2020-04-01
Latvia,446,48,0.0,0,1.0,3.0,0.0,2020-04-01
Tunisia,423,29,12.0,2,5.0,10.0,0.0,2020-04-01
Moldova,423,70,5.0,1,23.0,44.0,0.0,2020-04-01
Bulgaria,422,23,10.0,2,20.0,18.0,0.0,2020-04-01
Slovakia,400,37,1.0,1,3.0,1.0,0.0,2020-04-01
Andorra,390,14,14.0,2,10.0,12.0,0.0,2020-04-01
Kazakhstan,380,37,3.0,1,26.0,6.0,0.0,2020-04-01
Costa Rica,375,28,2.0,0,4.0,9.0,0.0,2020-04-01
Azerbaijan,359,61,5.0,0,26.0,7.0,0.0,2020-04-01
North Macedonia,354,25,11.0,2,17.0,4.0,0.0,2020-04-01
Uruguay,338,0,2.0,1,41.0,12.0,0.0,2020-04-01
Taiwan,329,7,5.0,0,45.0,0.0,0.0,2020-04-01
Cyprus,320,58,9.0,1,28.0,11.0,0.0,2020-04-01
Kuwait,317,28,0.0,0,80.0,14.0,0.0,2020-04-01
