Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Date
China,11860,69,259.0,0.0,0.0,2020-02-01
Japan,20,3,0.0,0.0,0.0,2020-02-01
Thailand,19,0,0.0,0.0,0.0,2020-02-01
Singapore,18,2,0.0,0.0,0.0,2020-02-01
Hong Kong,13,0,0.0,0.0,0.0,2020-02-01
South Korea,12,1,0.0,0.0,0.0,2020-02-01
Australia,12,3,0.0,0.0,0.0,2020-02-01
Taiwan,10,0,0.0,0.0,0.0,2020-02-01
Malaysia,8,0,0.0,0.0,0.0,2020-02-01
U.S.,7,0,0.0,0.0,0.0,2020-02-01
Germany,7,0,0.0,0.0,0.0,2020-02-01
Macao,7,0,0.0,0.0,0.0,2020-02-01
Vietnam,6,1,0.0,0.0,0.0,2020-02-01
France,6,0,0.0,0.0,0.0,2020-02-01
U.A.E.,4,0,0.0,0.0,0.0,2020-02-01
Canada,4,0,0.0,0.0,0.0,2020-02-01
Italy,2,0,0.0,0.0,0.0,2020-02-01
Russia,2,0,0.0,0.0,0.0,2020-02-01
U.K.,2,0,0.0,0.0,0.0,2020-02-01
Cambodia,1,0,0.0,0.0,0.0,2020-02-01
India,1,0,0.0,0.0,0.0,2020-02-01
Finland,1,0,0.0,0.0,0.0,2020-02-01
Philippines,1,0,0.0,0.0,0.0,2020-02-01
Sri Lanka,1,0,0.0,0.0,0.0,2020-02-01
Nepal,1,0,0.0,0.0,0.0,2020-02-01
Sweden,1,0,0.0,0.0,0.0,2020-02-01
Spain,1,0,0.0,0.0,0.0,2020-02-01
China,14497,116,304.0,0.0,0.0,2020-02-02
Japan,20,0,0.0,0.0,0.0,2020-02-02
Thailand,19,0,0.0,0.0,0.0,2020-02-02
Singapore,18,0,0.0,0.0,0.0,2020-02-02
South Korea,15,3,0.0,0.0,0.0,2020-02-02
Hong Kong,14,1,0.0,0.0,0.0,2020-02-02
Australia,12,0,0.0,0.0,0.0,2020-02-02
Germany,10,2,0.0,0.0,0.0,2020-02-02
Taiwan,10,0,0.0,0.0,0.0,2020-02-02
Malaysia,8,0,0.0,0.0,0.0,2020-02-02
Macao,8,1,0.0,0.0,0.0,2020-02-02
U.S.,8,0,0.0,0.0,0.0,2020-02-02
Vietnam,7,1,0.0,0.0,0.0,2020-02-02
France,6,0,0.0,0.0,0.0,2020-02-02
U.A.E.,5,0,0.0,0.0,0.0,2020-02-02
Canada,4,0,0.0,0.0,0.0,2020-02-02
Philippines,2,1,1.0,1.0,0.0,2020-02-02
India,2,1,0.0,0.0,0.0,2020-02-02
U.K.,2,0,0.0,0.0,0.0,2020-02-02
Italy,2,0,0.0,0.0,0.0,2020-02-02
Russia,2,0,0.0,0.0,0.0,2020-02-02
Finland,1,0,0.0,0.0,0.0,2020-02-02
Sweden,1,0,0.0,0.0,0.0,2020-02-02
Sri Lanka,1,0,0.0,0.0,0.0,2020-02-02
Nepal,1,0,0.0,0.0,0.0,2020-02-02
Cambodia,1,0,0.0,0.0,0.0,2020-02-02
Spain,1,0,0.0,0.0,0.0,2020-02-02
China,17302,97,361.0,0.0,512.0,2020-02-03
Japan,20,0,0.0,0.0,0.0,2020-02-03
Thailand,19,0,0.0,0.0,7.0,2020-02-03
Singapore,18,0,0.0,0.0,0.0,2020-02-03
Hong Kong,15,0,0.0,0.0,0.0,2020-02-03
South Korea,15,0,0.0,0.0,0.0,2020-02-03
Australia,12,0,0.0,0.0,2.0,2020-02-03
U.S.,11,2,0.0,0.0,0.0,2020-02-03
Germany,10,0,0.0,0.0,0.0,2020-02-03
Taiwan,10,0,0.0,0.0,0.0,2020-02-03
Vietnam,8,1,0.0,0.0,1.0,2020-02-03
Macao,8,0,0.0,0.0,0.0,2020-02-03
Malaysia,8,0,0.0,0.0,0.0,2020-02-03
France,6,0,0.0,0.0,0.0,2020-02-03
U.A.E.,5,0,0.0,0.0,0.0,2020-02-03
Canada,4,0,0.0,0.0,0.0,2020-02-03
India,3,1,0.0,0.0,0.0,2020-02-03
Philippines,2,0,1.0,0.0,0.0,2020-02-03
Italy,2,0,0.0,0.0,0.0,2020-02-03
