Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Date
China,79828,4.0,0,0.0,0,2020-03-01
S. Korea,3736,586.0,0,4.0,0,2020-03-01
Italy,1694,566.0,0,5.0,0,2020-03-01
Iran,978,385.0,0,11.0,0,2020-03-01
Diamond Princess,705,0.0,0,1.0,0,2020-03-01
Japan,256,15.0,0,1.0,0,2020-03-01
France,130,30.0,0,0.0,0,2020-03-01
Germany,130,51.0,0,0.0,0,2020-03-01
Singapore,106,4.0,0,0.0,0,2020-03-01
Hong Kong,100,5.0,0,0.0,0,2020-03-01
Spain,84,26.0,0,0.0,0,2020-03-01
USA,75,7.0,0,0.0,0,2020-03-01
Bahrain,47,6.0,0,0.0,0,2020-03-01
Kuwait,46,1.0,0,0.0,0,2020-03-01
Thailand,42,0.0,0,1.0,0,2020-03-01
Taiwan,40,1.0,0,0.0,0,2020-03-01
U.K.,36,13.0,0,0.0,0,2020-03-01
Australia,29,4.0,0,1.0,0,2020-03-01
Malaysia,29,4.0,0,0.0,0,2020-03-01
Canada,24,4.0,0,0.0,0,2020-03-01
Switzerland,24,5.0,0,0.0,0,2020-03-01
U.A.E.,21,0.0,0,0.0,0,2020-03-01
Iraq,19,6.0,0,0.0,0,2020-03-01
Norway,19,4.0,0,0.0,0,2020-03-01
Vietnam,16,0.0,0,0.0,0,2020-03-01
Austria,14,4.0,0,0.0,0,2020-03-01
Sweden,14,1.0,0,0.0,0,2020-03-01
Macao,10,0.0,0,0.0,0,2020-03-01
Israel,10,3.0,0,0.0,0,2020-03-01
Lebanon,10,3.0,0,0.0,0,2020-03-01
Netherlands,10,3.0,0,0.0,0,2020-03-01
Croatia,7,1.0,0,0.0,0,2020-03-01
Greece,7,0.0,0,0.0,0,2020-03-01
Ecuador,6,5.0,0,0.0,0,2020-03-01
Finland,6,3.0,0,0.0,0,2020-03-01
Oman,6,0.0,0,0.0,0,2020-03-01
Mexico,5,1.0,0,0.0,0,2020-03-01
Denmark,4,1.0,0,0.0,0,2020-03-01
Pakistan,4,0.0,0,0.0,0,2020-03-01
Philippines,3,0.0,0,0.0,0,2020-03-01
