Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Serious,Tested,Active Cases,Date
World,3303921,85738,233824.0,5795,1039029.0,50956.0,0.0,2031068.0,2020-05-01
China,82862,4,4633.0,0,77610.0,41.0,0.0,619.0,2020-05-01
USA,1095023,30829,63856.0,2201,152324.0,15226.0,6391887.0,878843.0,2020-05-01
Spain,239340,2441,24543.0,268,137955.0,2676.0,1455306.0,76842.0,2020-05-01
Italy,205463,1872,27967.0,285,75945.0,1694.0,1979217.0,101551.0,2020-05-01
UK,171253,6032,26771.0,674,0.0,1559.0,901905.0,144138.0,2020-05-01
France,167178,758,24376.0,289,49476.0,4019.0,724574.0,93326.0,2020-05-01
Germany,163009,1470,6623.0,156,123500.0,2415.0,2547052.0,32886.0,2020-05-01
Turkey,120204,2615,3174.0,93,48886.0,1514.0,1033617.0,68144.0,2020-05-01
Russia,106498,7099,1073.0,101,11619.0,2300.0,3490000.0,93806.0,2020-05-01
Iran,94640,983,6028.0,71,75103.0,2976.0,463295.0,13509.0,2020-05-01
Brazil,85380,6019,5901.0,390,35935.0,8318.0,339552.0,43544.0,2020-05-01
Canada,53236,1639,3184.0,188,21423.0,557.0,806449.0,28629.0,2020-05-01
Belgium,48519,660,7594.0,93,11576.0,769.0,237963.0,29349.0,2020-05-01
Netherlands,39316,514,4795.0,84,0.0,783.0,219744.0,34271.0,2020-05-01
Peru,36976,3045,1051.0,108,10405.0,651.0,318252.0,25520.0,2020-05-01
India,34863,1801,1154.0,75,9068.0,0.0,830201.0,24641.0,2020-05-01
Switzerland,29586,179,1737.0,21,23400.0,167.0,266200.0,4449.0,2020-05-01
Portugal,25045,540,989.0,16,1519.0,172.0,395771.0,22537.0,2020-05-01
Ecuador,24934,259,900.0,17,1558.0,146.0,69054.0,22476.0,2020-05-01
Saudi Arabia,22753,1351,162.0,5,3163.0,123.0,200000.0,19428.0,2020-05-01
Sweden,21092,790,2586.0,124,1005.0,531.0,119500.0,17501.0,2020-05-01
Ireland,20612,359,1232.0,42,13386.0,123.0,153954.0,5994.0,2020-05-01
Mexico,17799,1047,1732.0,163,11423.0,378.0,81912.0,4644.0,2020-05-01
Pakistan,16473,948,361.0,18,4105.0,111.0,174160.0,12007.0,2020-05-01
